Year protection applied,Where filed,Who,Tech field,Patent #,more date info,Title/summary in English,Sources and notes  (see Sources worksheet for details),Original language patent title (or closest available info),Supplementary to,related to aircraft?,date applied for,date granted,Global patent id,,,,,
1891,us,"Barnes, Burr Frank
Circleville, OH",,"460,194",1891/09/29,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1891,us,"Arbtin, John
Des Moines, IA",,"462,612",1891/11/03,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1891,us,"Cairncross, Stewart
Grafton, ND",,"464,851",1891/12/08,Aerial machine,Short's DB,Aerial machine,,1,,,,,,,,
1891,us,"Pennington, E. J.",, ,,Transcontinental Airliner,Short's DB,Transcontinental Airliner,,1,,,,,,,,
1892,us,"Walker, James C
Waco, TX",,"467,069",1892/01/12,Air Ship,Short's DB,Air Ship,,1,,,,,,,,
1892,us,"Gayon, Leon 
Paris, France",,"480,945",1892/08/16,Propeller,Short's DB,Propeller,,1,,,,,,,,
1892,us,"Barnes, Burr Frank
Circleville, OH",, ,1892,Airship,Short's DB,Airship,,1,,,,,,,,
1892,us,"Battey, S. B.
New York, NY",, ,1892,Airship with rocket propulsion,Short's DB,Airship with rocket propulsion,,1,,,,,,,,
1892,us,"Riddle, William N.
Crowley, TX",, ,1892,Navigable balloon,Short's DB,Navigable balloon,,1,,,,,,,,
1893,us,"Gabrieli, Georg T L
Christiana, Norway",,"500,326",1893/06/27,Balloon Ship,Short's DB,Balloon Ship,,1,,,,,,,,
1893,us,"Steinmann, Theodor
Marburg, Austria-Hungary",,"501,111",1893/07/11,Air Ship,Short's DB,Air Ship,,1,,,,,,,,
1893,us,"Battey, Sumter B
New York, NY",,"502,168",1893/07/25,Aerial Machine,Short's DB,Aerial Machine,,1,,,,,,,,
1893,us,"Bergqvist, Axel F
Fairfield, IA",,"506,969",1893/10/17,Aerial Vessel,Short's DB,Aerial Vessel,,1,,,,,,,,
1893,us,"Billwiller, Carl Friedric
Hottingen, Switzerland",,"507,609",1893/10/31,Navigable Air-Ship,Short's DB,Navigable Air-Ship,,1,,,,,,,,
1893,us,"Pynchon, Edwin
Chicago, IL",,"508,753",1893/11/14,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1893,us,"Sumovski, Joachim A
Kursk, Russia",,"510,492",1893/12/12,Balloon,Short's DB,Balloon,,1,,,,,,,,
1893,us,"Hurlbut, Duane
Paterson NJ",,"526,394",1893/09/25,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1893,us,"Spaeth, Sigmund",, ,1893,Passenger operated airship,Short's DB,Passenger operated airship,,1,,,,,,,,
1893,us,"Stark, Theodore A",, ,1893,Man powered airplane,Short's DB,Man powered airplane,,1,,,,,,,,
1894,us,"Spaeth, Sigmund
Falls City, Nebr",,"514,287",1894/02/06,Aerial Vessel,Short's DB,Aerial Vessel,,1,,,,,,,,
1894,us,"Cross, Christopher G
Erie, IL",,"516,265",1894/03/13,Aerial Locomotive,Short's DB,Aerial Locomotive,,1,,,,,,,,
1894,us,"Wellner, Georg
Brünn, Austria-Hungary",,"516,581",1894/03/13,Flying Apparatus,Short's DB,Flying Apparatus,,1,,,,,,,,
1894,us,"Borgfeldt, Nicholas H.
Brooklyn, NY",,"530,219",1894/12/04,Apparatus for aerial navigation,Short's DB,Apparatus for aerial navigation,,1,,,,,,,,
1895,us,"Funcheon, Daniel C.
Valverde, CO",,"536,174",1895/03/19,"Means for propelling, guiding and controlling air-ships",Short's DB,"Means for propelling, guiding and controlling air-ships",,1,,,,,,,,
1895,us,"Lilienthal, Otto
Berlin, Germany",,"544,816",1895/08/20,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1895,us,"Hutchinson, William Nelson
Eastbourne, England",,"548,053",1895/10/15,Navigable Balloon,Short's DB,Navigable Balloon,,1,,,,,,,,
1895,us,"Kosch, Rudolph",, ,,Man-powered helicopter,Short's DB,Man-powered helicopter,,1,,,,,,,,
1895,us,"LosOlivas, E Cabellero
New York, NY",, ,,Flying saucer,Short's DB,Flying saucer,,1,,,,,,,,
1896,us,"Coutinho, Manoel Vianna
Para, Brazil",,"556,621",1896/03/17,Aerostat,Short's DB,Aerostat,,1,,,,,,,,
1896,us,"Kline, Frank
Arcadia OH",,"564,790",1896/07/12,Power Wheel,Short's DB,Power Wheel,,1,,,,,,,,
1896,us,"Croix, Edward J
Seattle, WA",,"573,549",1896/12/22,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1897,us,"Heintz, Henry
Elekton, SD",,"580,941",1897/04/20,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1897,us,"Myers, Carl Edgar
Mohawk, NY",,"581,218",1897/04/20,Sky-Cycle,Short's DB,Sky-Cycle,,1,,,,,,,,
1897,us,"Chanute, Octave
Chicago, IL",,"582,718",1897/05/18,Soaring machine,Short's DB,Soaring machine,,1,,,,,,,,
1897,us,"Mouillard, Louis Pierre
Cairo, Egypt",,"582,757",1897/05/18,Means for aerial flight,Short's DB,Means for aerial flight,,1,,,,,,,,
1897,us,"Wilhelmi, Otto
Düsseldorf, Germany",Rocket,"585,805",1897/07/06,Rocket,Short's DB,Rocket,,1,,,,,,,,
1897,us,"Crepar, Thomas M
Grand Rapids, MN",,"588,556",1897/08/24,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1897,us,"Reed, Daniel
Eagle Lake, MN",,"591,692",1897/10/12,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1897,us,"Graybill, Jacob D.
New Orleans, LA",,"592,704",1897/10/26,Aerial machine,Short's DB,Aerial machine,,1,,,,,,,,
1897,us,"Richardson, James
New York, NY",,"596,231",1897/12/28,Flying-Machine,Short's DB,Flying-Machine,,1,,,,,,,,
1898,us,"Leibbrand, Theodore
Columbus, OH",,"600,878",1898/03/22,Aerial navigation,Short's DB,Aerial navigation,,1,,,,,,,,
1898,us,"Koehler, Adolph
New York, NY",,"605,438",1898/06/07,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1898,us,"Jone, Friedrich A.
Dresden, Germany",,"605,579",1898/06/14,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1898,us,"Butusov, William Paul
Chicago, IL",,"606,187",1898/06/28,Soaring Machine,Short's DB,Soaring Machine,,1,,,,,,,,
1898,us,"Rice, Joel Trout
Hot Springs, AK",,"606,942",1898/07/05,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1898,us,"Hite, Charles E
Philadelphia, PA",,"607,240",1898/07/12,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1898,us,"Brown, Thomas J.
Sedallia, MO",,"610,843",1898/09/13,Aerial ship,Short's DB,Aerial ship,,1,,,,,,,,
1898,us,"Smith, Oscar L.
New York, NY",,"612,808",1898/10/18,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1898,us,"Siegsfeld, Rudolph Max Wilhelm Hans von
Schöneberg, Germany",,"612,996",1898/10/25,Air Balloon,Short's DB,Air Balloon,,1,,,,,,,,
1898,us,"Merritt, Frederick R.
Prairie City, OR",,"615,569",1898/12/06,Air ship,Short's DB,Air ship,,1,,,,,,,,
1898,us,"Kress, W",, ,,Tandem triplane,Short's DB,Tandem triplane,,1,,,,,,,,
1899,us,"Zeppelin, Graf Ferdinand
Stuttgart, Germany",,"621,195",1899/03/14,Navigable balloon,Short's DB,Navigable balloon,,1,,,,,,,,
1900,us,"Duggner, Andrew, JR
Toledo, OH",,"640,184",1900/01/02,Air-Propeller,Short's DB,Air-Propeller,,1,,,,,,,,
1900,us,"Otis, Spencer
Omaha, NE",,"641,793",1900/01/23,Multiple Aermotor,Short's DB,Multiple Aermotor,,1,,,,,,,,
1900,us,"Pickering, John F
Gonaives, HI",balloon,"643,975",1900/01/02,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1900,us,"Woglom, Gilbert T
New York, NY",,"648,544",1900/05/01,Kite-like aeroplane,Short's DB,Kite-like aeroplane,,1,,,,,,,,
1900,us,"Roze, Louis Etienne
Colombes, France",,"648,634",1900/05/01,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1900,us,"Deydier, Marie J Augustin
Nyons, France",balloon,"653,221",1900/07/10,Electric Traction Balloon,Short's DB,Electric Traction Balloon,,1,,,,,,,,
1900,us,"Cairncross, Stewart
Grafton, ND",,"653,615",1900/07/10,Aerial wheel,Short's DB,Aerial wheel,,1,,,,,,,,
1900,us,"Stanley, Charles
San Francisco, CA",balloon,"659,264",1900/11/13,Air ship,Short's DB,Air ship,,1,,,,,,,,
1900,us,"Stevens, Leo
New York, NY",balloon,"661,826",1900/11/13,Controllable Balloon,Short's DB,Controllable Balloon,,1,,,,,,,,
1900,us,"Bellamy, Frederick Adolphus
London, England",,"663,004",1900/12/04,"Aerial Recreation Apparatus, & c",Short's DB,"Aerial Recreation Apparatus, & c",,1,,,,,,,,
1900,us,"Hubbard, Aristarchus F
Simmler, CA",balloon,"668,375",1900/12/04,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1901,us,"Dillon-Gregg, Joseph H.
St Louis, MO",,"666,266",1901/01/22,Machine for aerial navigation,Short's DB,Machine for aerial navigation,,1,,,,,,,,
1901,us,"Olsen, Ole
Oakland, CA",,"670,807",1901/02/19,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1901,us,"Farr, Eugene M.
Washington, DC",,"678,114",1901/07/09,Aerial vessel,Short's DB,Aerial vessel,,1,,,,,,,,
1901,us,"Braby, Henry
Ayr, Queensland",,"686,200",1901/11/05,Wind motor,Short's DB,Wind motor,,1,,,,,,,,
1901,us,"Spies, John
Philadelphia, PA",,"688,135",1901/12/03,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1902,us,"Bell, Walter J.
Los Angeles, CA",,"693,943",1902/02/25,Wing for flying machine,Short's DB,Wing for flying machine,,1,,,,,,,,
1902,us,"Dufwa, Frederick W
Mexico, Mexico",,"694,356",1902/03/04,Blade for propellers for air-ships,Short's DB,Blade for propellers for air-ships,,1,,,,,,,,
1902,us,"Richmond, Cassius Montezuma
New York, NY",,"695,580",1902/03/18,Air-Ship,Short's DB,Air-Ship,,1,,,,,,,,
1902,us,"Groombridge, Charles
London, England",,"697,403",1902/04/08,Propeller for air-ships,Short's DB,Propeller for air-ships,,1,,,,,,,,
1902,us,"Conyne, Silas J.
Chicago, IL",,"698,634",1902/04/29,aeroplane,Short's DB,aeroplane,,1,,,,,,,,
1902,us,"Klotz, Carl F A
Indianapolis, IN",,"701,359",1902/06/03,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1902,us,"Samorski, Peter
Chicago, IL",,"701,510",1902/06/03,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1902,us,"Voorhis, Harvey B van
Chicago, IL",,"702,120",1902/06/03,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1902,us,"Rice, Joel Trout
Hot Springs, AK",,"704,375",1902/07/08,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1902,us,"Lancaster, Israel
Chicago, IL",,"706,832",1902/08/12,Covering for aeroplanes,Short's DB,Covering for aeroplanes,,1,,,,,,,,
1902,us,"Gibon, Theodor
Clarksville, TN",,"710,266",1902/09/30,aeroplane,Short's DB,aeroplane,,1,,,,,,,,
1902,us,"Krocker, Ernst Rudolph
Teplitz, Austria-Hungary",,"712,689",1902/11/04,Air ship or vessel,Short's DB,Air ship or vessel,,1,,,,,,,,
1902,us,"Nemethy, Emil",, ,1902,aeroplane,Short's DB,aeroplane,,1,,,,,,,,
1903,us,"Johnston, Edward Payson
Highlands CO",,"722,516",1903/03/10,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1903,us,"Kaiser, John
Seneca Falls, NY",,"722,848",1903/03/17,Aerial apparatus,Short's DB,Aerial apparatus,,1,,,,,,,,
1903,us,"Summers, Fabian A
Washington, IN",,"723,068",1903/03/17,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1903,us,"Berry, John
St Louis, MO",,"723,636",1903/03/24,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1903,us,"Michelsen, Thor
Los Angeles, CA",,"725,981",1903/04/21,Air-ship,Short's DB,Air-ship,,1,,,,,,,,
1903,us,"LaFrance, Asa W & William Wright
Elmira, NY",,"726,543",1903/04/28,Aerial apparatus,Short's DB,Aerial apparatus,,1,,,,,,,,
1903,us,"Kaehler, Otto A.
Detroit, MI",,"727,377",1903/05/05,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1903,us,"Boswell, Lewis A
Eastaboga, AL",,"728,844",1903/05/26,Steering mechanism for dirigible air-ships,Short's DB,Steering mechanism for dirigible air-ships,,1,,,,,,,,
1903,us,"Shultz, George D.
Kansas City, MO",,"729,800",1903/06/02,Aerial vessel,Short's DB,Aerial vessel,,1,,,,,,,,
1903,us,"Gibon, Theodor
Clarksville, TN",,"730,107",1903/06/02,Aeroplane,Short's DB,Aeroplane,,1,,,,,,,,
1903,us,"Godefroy, Alexandre F
St. Louis, MO",,"730,529",1903/06/09,Means for propelling vessels,Short's DB,Means for propelling vessels,,1,,,,,,,,
1903,us,"Morris, Isaac I.
Mellette, SD",,"737,947",1903/09/01,Machine for aerial navigation,Short's DB,Machine for aerial navigation,,1,,,,,,,,
1903,us,"Deventer, Charles E van
Springfield, IL",,"741,568",1903/10/13,Apparatus for aerial navigation,Short's DB,Apparatus for aerial navigation,,1,,,,,,,,
1904,us,Berry Aerial Navigation Corp,,12250,1669,Airship,Patent number and date don't line up ; don't agree ; Short's DB,Airship,,1,,,,,,,,
1904,us,"Needham, Charles F
New York, NY ",,"730,956",1904/05/24,Aerial navigation apparatus,Short's DB,Aerial navigation apparatus,,1,,,,,,,,
1904,us,"Bell, Alexander Graham
Washington, DC",,"757,012",1904/04/12,Aerial vehicle,Short's DB,Aerial vehicle,,1,,,,,,,,
1904,us,"Morrison, Charles F
Cornplanter, PA",,"761,053",1904/05/24,Aerial navigation apparatus,Short's DB,Aerial navigation apparatus,,1,,,,,,,,
1904,us,"Craig, Stephen M
Moscow, Idaho",,"766,021",1904/07/26,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1904,us,"Walden, Howard de & Hans Knudsen
London, England",,"769,034",1904/09/20,Aerial vessel,Short's DB,Aerial vessel,,1,,,,,,,,
1904,us,"Thompson, George W
Woodville, Indian Territoy",,"769,721",1904/09/13,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1904,us,"Bell, Alexander G
Washington DC",,"770,626",1904/09/20,Aerial vehicle or other structure,Short's DB,Aerial vehicle or other structure,,1,,,,,,,,
1904,us,"Botts, R H",, ,1904,Circular wing,Short's DB,Circular wing,,1,,,,,,,,
1905,us,"Criswell, Alexander P
Chicago, IL",,"785,717",1905/03/28,Aeroplane,Short's DB,Aeroplane,,1,,,,,,,,
1905,us,"Lancaster, Israel
Chicago, IL",,"785,740",1905/03/28,Covering for aeroplanes,Short's DB,Covering for aeroplanes,,1,,,,,,,,
1905,us,"McMullen, George
Western Australia, Australia",,"792,154",1905/06/13,Aeronautic apparatus,Short's DB,Aeronautic apparatus,,1,,,,,,,,
1905,us,"Friedel, Albert H
New York, NY",,"804,593",1905/11/14,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1906,us,"Platt, Albert L
Clinton, IL",,"813,519",1906/02/27,Aerial top,Short's DB,Aerial top,,1,,,,,,,,
1906,us,"O'Kane, Bartholomew
Cincinnati, OH",,"820,938",1906/05/18,Aerial vessel,Short's DB,Aerial vessel,,1,,,,,,,,
1906,us,"Wright, Orville &Wilbur
Dayton, OH",,"821,393",1906/05/22,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1906,us,"Hofmann, Joseph
Berlin, Germany",,"827,017",1906/07/24,Wing of flying machines,Short's DB,Wing of flying machines,,1,,,,,,,,
1906,us,"Kramer, John B
Lancaster, OH",,"827,157",1906/07/31,Aerodome,Short's DB,Aerodome,,1,,,,,,,,
1906,us,"Montgomery, John J
Santa Clara, CA",,"831,173",1906/09/18,Aeroplane,Short's DB,Aeroplane,,1,,,,,,,,
1906,us,"Chanute, Octave
Chicago, IL",,"834,658",1906/09/18,Means for aerial flight,Short's DB,Means for aerial flight,,1,,,,,,,,
1906,us,"West, George 
Los Angeles, CA",,"838,673",1906/12/18,Automobile aerial navigator,Short's DB,Automobile aerial navigator,,1,,,,,,,,
1907,us,"Schroeder, George G
Washington, DC",,"841,581",1907/01/15,Brake for aerial navigation,Short's DB,Brake for aerial navigation,,1,,,,,,,,
1907,us,"Morgan, William
Fort Plaix, NY",,"843,476",1907/02/05,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1907,us,"McCarthy, Alexander
New York, NY",,"844,172",1907/02/12,Aeronautical machine,Short's DB,Aeronautical machine,,1,,,,,,,,
1907,us,"Bellows, Horace M
Huntingdon Valley, PA",,"844,771",1907/02/19,Aerial navigation,Short's DB,Aerial navigation,,1,,,,,,,,
1907,us,"Dufaux, Armand & Henri
Geneva, Switzerland",,"846,830",1907/03/12,Aeroplane or craft for aerial navigation,Short's DB,Aeroplane or craft for aerial navigation,,1,,,,,,,,
1907,us,"Brandl, Adolf
Munich, Germany",,"849,971",1907/04/09,Flying apparatus,Short's DB,Flying apparatus,,1,,,,,,,,
1907,us,"Bliven, Alonzo P
Brooklyn, NY",,"850,616",1907/04/16,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Mickley, Benjamin F.
Seneca Falls, NY",,"851,683",1907/04/30,Navigable aeroplane,Short's DB,Navigable aeroplane,,1,,,,,,,,
1907,us,"Nial, Matthew
Brooklyn, NY",,"851,895",1907/04/30,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Connolly, Bartholomew
Tonopah, Nevada",,"852,221",1907/04/30,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Orgren, Tony
Sand Diego, CA",,"852,292",1907/04/30,Aerial vessel,Short's DB,Aerial vessel,,1,,,,,,,,
1907,us,"Gruber, Ignace
New York, NY",,"855,945",1907/06/04,Sustaining device for aerial vessels,Short's DB,Sustaining device for aerial vessels,,1,,,,,,,,
1907,us,"Lewitz, Reinhold
New York, NY",,"856,073",1907/06/04,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Bell, Alexander G & Hector P. McNeil
Washington, DC",,"856,838",1907/06/11,Connection device for the frames of aerial vehicles and other structures,Short's DB,Connection device for the frames of aerial vehicles and other structures,,1,,,,,,,,
1907,us,"Merrich, Lycortes D
New York, NY",,"856,895",1907/06/11,Aerial vessel,Short's DB,Aerial vessel,,1,,,,,,,,
1907,us,"Phillips, Williams
Chicago, IL",,"856,910",1907/06/11,Flying machine,Short's DB,Flying machine,,1,,,,,,,,
1907,us,"Felts, Fletcher E.
Los Angeles, CA",,"857,166",1907/06/18,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Wilson, John H.
Carlisle, PA",,"859,274",1907/07/09,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Cook, William H
Edmonds, WA",,"860,447",1907/07/16,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Mahan, Frank M
Chicago, IL",,"861,133",1907/07/23,Aerial navigator,Short's DB,Aerial navigator,,1,,,,,,,,
1907,us,"La Penotiere, Edward M
Minneapolis, MI",,"861,740",1907/07/30,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"O'Brate, Anthony
Enid, Oklahoma Territory",,"866,672",1907/09/24,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"O'Brate, Anthony
Enid, Oklahoma Territory",,"866,673",1907/09/24,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"O'Brate, Anthony
Enid, Oklahoma Territory",,"867,525",1907/10/01,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Uherkocz, Julius U de
Binghamton, NY",,"868,038",1907/10/15,Mechanism for winged flying-machines or air-ships,Short's DB,Mechanism for winged flying-machines or air-ships,,1,,,,,,,,
1907,us,"Uherkocz, Julius U. de
Binghamton, NY",,"868,039",1907/10/15,Steering-gear for winged flying-machines or air-ships,Short's DB,Steering-gear for winged flying-machines or air-ships,,1,,,,,,,,
1907,us,"Roshon, John W
Habrisburg, PA",,"868,488",1907/10/15,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Pursell, John D
Chattanooga, TN",,"869,019",1907/10/22,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1907,us,"Connolly, Bartholomew
Tonopah, Nevada",,"870,936",1907/11/12,Aerial machine,Short's DB,Aerial machine,,1,,,,,,,,
1907,us,"Gathmann, Louis
Washington, DC",,"871,926",1907/11/26,Air-propeller for fling-machines,Short's DB,Air-propeller for fling-machines,,1,,,,,,,,
1907,us,"Ashley, Freeland B
Kansas City, MI",,"872,778",1907/12/03,Aerial Vessel,Short's DB,Aerial Vessel,,1,,,,,,,,
1907,us,"Halliday, George
Superior, Wisconsin",,"873,542",1907/12/10,Aerial Vessel,Short's DB,Aerial Vessel,,1,,,,,,,,
1908,us,"Benedict, George H
Chicago, IL",,"879,848",1908/02/25,Aeroplane,Short's DB,Aeroplane,,1,,,,,,,,
1908,us,"Halle, William
Union, NJ",,"881,184",1908/03/10,Flying-machine,Short's DB,Flying-machine,,1,,,,,,,,
1908,us,"Warner, Everett E
Hartford, CT",,"881,836",1908/03/10,Wing for flying-machines,Short's DB,Wing for flying-machines,,1,,,,,,,,
