Entity,Scope,Affiliate  of,Country,City,Address,Cable Address,Phone,Start Year,End Year,Sources [Reformatting Pending],"Notes 1:  Beginning, Purpose, Other Characteristics","Notes 2:  Patrons, Founders, Officers, Membership; Continuing and Other Notes",Notes 3:  Overflow Notes and Asides  ,Special to Peter
Aero Club of Belgium : Aero Club de Belgique,National,"FAI, founding member, 14 Oct. 1905",Belgium,Brussels,"5 Place Royale, Brussels (at least 1906-1910); 6 Avenue Marnix, Brussels (1910-1919?); 40 Rue Keyenveld, Brussels (1919); 73 Avenue Louise, Brussels (at least October 1919-)",Aero-Club Bruxelles (at least 1910-1919),565 (at least 1906-1910); 123-46 (at least 1911-1919),1901,1935 or later,"Conference Internationale d'Aeronautique Proces-Verbaux, 12-14 Oct 1905; FAI Conference Statutaire Proces-Verbaux (1906-1910, 1912); FAI Conference Extraordinaire, 19-21 May 1919; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); P-B of Aeronautics 443 (Eng. ed., Jan. 1907); 1:5 Aeronautics 44 (1907); 1:6 Aeronautics 37 (1907); 1908 Intl Motor Cyclopaedia YB Geog. Trade Dir.203; 1909 Motor Cyclopaedia YB 109 Misc; ""Flight' Manual 14 (1910); 1910 Annuario dell' Aeronautica Primo 367 (1910); 1911 Aero-Manuel 223, 313 (1 Oct. 1910); 1913 Aviation P-B 158 (Jan. 1913); www.fai.org/about/history; LOC OPAC; National Union Catalog Pre-1956 Imprints; ACA annuals (1911-1917, 1919); National Union Catalog Pre-1956 Imprints; Dir1920; WorldCat.org and WorldCat-OCLC; 1921 Brockett; ","The Aero Club of Belgium (Aero Club de Belgique) was founded 15 Feb. 1901.  The club was one of the eight national organizations that met in Paris 12-14 Oct. 1905 to put together the Federation Aeronautique Internationale (FAI).  As of 1906, the club owned balloon stores and published a fortnightly journal, ""La conquete de l'air.""  Published annual yearbook beginning 1911.  ","Membership in February 1906 was 300 and it was said to have about 1900 members in 1910.  It organized an historical celebration of ballooning at Brussels, 23 July 1903, and sponsored an international competition on 15 Sept. 1907 under the patronage of the King of Belgium and the auspices of the city of Brussels.  It also sponsored a Grand Meeting of Aviation at Brussels from 23 July-4 Aug. 1910.  At the FAI Conference Statutaire in October 1910, it reported not only the gas consumed by balloons but also reported six aeroplanes in the country.  Fernand Jacots was president in 1910.        ",,
Aero Club of Boston University,University, ,USA,,,,,1910 or earlier,,1910 NYT 23 June,, ,,
Aero Club of Brazil :         Aero Club Brasileiro :         Aero Club Baziliero :            Aero Club du Bresil, National,"FAI, from 19 May 1919",Brazil,Rio de Janeiro,"183 Avenida Rio-Branco, 1º Andra, Rio de Janeiro (1920)","Aero Club, Rio (1920)",2,1918 or earlier,1920 or later,"Dir1920; National Union Catalog Pre-1956 Imprints; LOC OPAC; FAI Conference Extraordinaire, 19-21 Mai 1919, pp.54-55; Sommaire, FAI Reunion, 23-24 Oct 1919, in 1:1 Bulletin Officiel de la FAI (Jan. 1920); 1:1 Bulletin Officiel de la FAI (Jan. 1920); ",The Aero Club Brasileiro published its statutes and regulations in 1918.  The Federation Aeronautique Internationale approved the affiliation of the Aero Club Brasiliero at its afternoon meeting extraordinaire 19 May 1919.,, ,"At one time I was doing research in WorldCat to identify publications.  Made note that this is where I stopped.  At some time will return to Worldcat to try to identify additional associations but before doing that, want to go through the little book you have of publications. "
Aero Club of Breslan,Local,,Germany,Bresland,,,,1909 or earlier,, 5 Aeronautics 184 (1909),The aero club of Breslan had constructed several gliders of the Lilienthal type according to 5 Aeronautics 184 (1909).  Do not know proper name of club.  ,,,
Aero Club of Buc :                Aero Club de Buc,Local,,France,Buc,,,,1914 or earlier,,1921 Brockett, ,,,
Aero Club of Buffalo,Local,"ACA, from at least 1910",USA,"Buffalo, New York","760 Main Street, Buffalo (at least 1910-1911); Lafayette Hotel, Buffalo (1912-1920)",0,0,1909,1920 or later,"1909 NYT, 12 Dec.; 1910 NYT, 2 Jan. and 3 June; 1910 Aircraft, 1 Mar.; 1910 Boston Daily Globe, 13, 14, & 16 Aug.; ACA annuals (1910-1917. 1919); 2:11 Flying 34 (1913); 5 Flying 250 (1916); 6 Flying 498 (1917); 8 Flying 549 (1919); 9 Flying 50 (1920); Goodyear 11 (1919); Dir1920","The Aero Club of Buffalo was formally organized ca. 11 Dec. 1909.  Plans at that time were to prepare and file papers of incorporation shortly.  The constitution was to provide that membership would be composed wholly or in part of persons owning aeronautic inventions for personal or private use and that the club would encourage aerial navigation by promotiong excursions, races, congresses, and expositions. ","Officers elected in December 1908 included John M. Satterfield, president; H. A. Meldrum, Howard A. Forman, and Robert K. Root, vice presidents; George P. Urban, treasurer; and Dai. H. Lewis, secretary.  The initial membership was 50.  The aero club was founded in connection with the Automobile Club of Buffalo; the inaugural meeting was in the rooms of the automobile club and future meetings were to be scheduled there.  The club held a model aeroplane contest on 1 Mar. 1910.  The Aero Club of Buffalo was invited to enter a balloon in the August 1910 Harvard-Boston meet.         ",,
Aero Club of Burton-on-Trent,Local,,UK,"Burton-on-Trent, England",,,,1908,,1908 Manchester Guardian 19 Sept. ,An aero club was formed at Burton-on-Trent ca. September 1908.  The club initiated a competition of unmanned gas balloons on 18 Sept. 1908 and planned to hold periodic races with India rubber balloons of special construction.,"The club had over 50 members as of 18 Sept. 1908.  At the competition that day each balloon was inflated with 10 cu. ft. of coal gas and attached to it was a postcard in three languages.  Finders were asked to fill in the place and date were balloon was found and mail the card back to club, which intended to offer prizes for best distance records.   ",,
Aero Club of California,State,"ACA, from 1909-1916",USA,"Los Angeles, California","P.O. Box 287, Los Angeles (1910-1911); took rooms at 349 So. Hill St., Los Angeles, 1911;  Controlled Dominguez Field, Los Angeles, under an option from the American Aviation Co.,  Oct. 1911-Oct. 1913; field was at Griffith Aviation Park, Los Angeles (1913-1915);",,,1908,appears to be 1916,"1908 LA Times, 20 & 27 May, 3 June, 7 Nov., and 10 Dec.; 1908 Baltimore Sun, 9 Aug.; 1909 LAT, 7 Feb., 13 Apr., 13 Nov. and 25 Dec.; 2:6 Aeronautics 56 (June 1908); 3:1 Aeronautics 36 (July 1908); 3:6 Aeronautics 31 (December 1908); 5 Aeronautics 11, 165 (1909); 1 Am Aeronaut 136 (1909); 1910 Boston Daily Globe, 9 Jan. and 13, 14, & 16 Aug.;  1910 LAT, 5 Jan.; 1910 Machinery, 1 Apr.; 1910 NYT, 3&23 June; 1911 Christian Science Montior, 20 July; 1911 LAT 22 Aug., 10 Sept.; 1911 SF Chronicle, 19 Sept.; 1912 Aircraft, 1 Jan.; ACA annuals (1910-1917, 1919);  2:11 Flying 34 (1913); 2 Aerial Age Weekly 178 (1915); 5 Flying 124 and 250 (1916);  1920 LAT, 15 Feb; 1958 LAT 3 June; WorldCat.org and WorldCat-OCLC; Finding Aid for the Griffith Family Papers, 1845-1973, in Online Archive of California, http://findaid.oac.cdlib.org/findaid/ark:/13030/kt4199q2rv ; Cal. Sec'y of State Business Search, http://Kepler.sos.ca.gov;   ","The begining of the Aero Club of California (ACC) appears to be an article in the 20 May 1908 LA Times inviting persons interested in aerostatics, including the navigation of the air by balloons, airships, flying machines, etc., to a meeting at the Times on 26 May to form the So. Cal. Aero Club.  At that meeting, the 25 interested men formed instead the ACC.  The ACC's purpose was to obtain grounds for experimental ascents and maintain construction and repair shops.  In Nov. 1909, it was described as seeking to boost the science of aeronautics and to invent and build aeroplanes.  By-laws were adopted in 1909 and 1911; articles of incorporation adopted 2 Apr. 1910 were filed on 14 May 1910.  It affiliated with the Aero Club of America (ACA) in 1909 and was the state rep. to the ACA until terminating affiliation on 14 July 1916.  The 1916 ACA Annual lists as affiliates both the ACC and, for the first time, the Aeronautical Society of Cal. (ASC), which see.  In the 1917 annual, only the ASC is listed; we know nothing that suggests an ACC-ASC merger.  (In January 1910, the ACC had proposed to form a state federation in which it, Pacific AC, and AC of Oakland, would each become branches; the Aeronautical Squad of the Cal. Nat'l  Guard would become the military branch; and the Cal. Aviation Soc. would be absorbed.)       ","The call for the 26 May 1908 meeting was issued by Henry Stenerson, a practicing mechanic with ambitions to institute a club and locate permanent headquarters where aeronautics may be studied.  Officers elected 2 June 1908 included J. S. Zerbe, pres.; R. M. Dungan and Leon L. Cooley, VPs; J. D. Minster, sec.; and M. P. Dodge, treas.  Charter members, Zerbe, McCullon, Daniel J. Johnson, and W. A. Hall, were then building aeroplanes, while R. M. Dunghan had completed plans for a balloon.  The club soon had use of a large building at Chutes Ball Park for storing and erecting balloons and aeroplanes as well as an open space for experiments.  Officers elected at the annual meeting 1 June 1909 included Prof. H. LaV. Twining, pres.; E. J. Campbell and E. L. Graves, VPs; Parke Hyde, sec., and E. W. Murch, treas; either Hyde was soon followed by Wm. Stevens or Stevens was 2d sec.  200 members in 1909; 225 in June 1910.  Held an aeronautic exhibition 24-25 Apr. 1909.  Its international meet 10-20 Jan. 1910 at which 10 aeroplanes were entered was the first of its kind to be held in the U.S. and only the second such meet to be sanctioned by the FAI (the first being at Rheims, France); the meet's site was at what later became Dominguez Field.  A second international meet was held 24 Dec.1910-3 Jan. 1911.","An auxillary club consisting of 30 students at the Polytechnic High School was established in December 1908.  Financing for the January 1910 aviation meet was provided by the California Aviation Society (CAS), an entity formed by Dick Ferris in November 1909 for that purpose.  CAS president, Henry E. Huntington, donated $50,000, an amount said matched by the people of LA; $80,000 in prizes was distributed.  The CAS had hopes that the ACA would accept its affiliation over that of the ACC but was informed that could not happen due to the priority of the application from the ACC.  [Re CAS see 1909:  SF Chronicle, 7 Nov. and 13 & 15 Dec.; LA Times, 16 Nov.; LA Herald, 1 Dec.; and 5 Aeronautics 215; 1910: Dick Ferris, letter, 3 Mar. 1910, in 6 Aernatics 217-218 (1910); also, 1994: James Ernest Thorpe, Henry Edwards Huntington (UC Press), 245-246.]  Something similar appears repeated in 1911.  That July, some LA businessmen incorporated the Aeronautical Society of California (ASC) as a general aeroplane business.  It's president was the millionaire Earle Remington.  The ACC was to provide contest rules and technical work for an aviation meet proposed to be held in LA around Thanksgiving 1911 while the ASC was to attend to business and financial needs.  News of the ASC appears to have petered during September 1911 and it has not been ascerrtained that the meet was held.  [Re this ASC, see 1911: CSM, 20 July; LAT 22 Aug., 10 Sept., SFC, 19 Sept.]  In 1915, Oscar Brindley, representing the ACC, won the first Curtiss Marine Flying Trophy.  Miscellaneous records of the ACC, 1910-1912 and 1916, are in the Griffith Family Papers, UCLA Young Research Library.  A new and apparently unrelated ACC was formed in February 1920 at Los Angeles.  ", 
Aero Club of Canada,National,,Canada,"Toronto, Ontario","34 Yonge Street, Toronto (1920)","Aeroclub, Toronto (1920)",1 (See Dir1920),1908,1920 or later,"1908 Chicago Daily Tribune, 21 June and 3 July; 1908 St. Louis Post Dispatch, 29 June and 4 July; 1908 WP, 5 July; 1908 Baltimore Sun, 5 July; 1908 Manchester Guardian, 7 July; 1910 NYT,  23-25 June; 1910 FAI Conference Statutaire Proces-Verbaux 17-18; Dir1920","The Aero Club of Canada was founded no later than June 1908 and appears to have incorporated early.  The club was rejected for membership in the FAI, 27 Oct. 1910, because of FAI statute that a nation is comprised of its dependencies and colonies.  Was one of the 10 to 12 founders of the American Aeronautical federation, 22 June 1910. ","A balloon representing the Aero Club of Canada competed in the Chicago to Atlantic Ocean balloon race (Chicago to Ocean Race), 3-6 July 1908, sponsored by the Aeronautique Club of Chicago. ",Neet to find out if there was a separate Aero Club of Toronto; such was listed in 1 Annuario dell' Aeronautcia 363 but with no details confirmation is not possible,
Aero Club of Canada,Regional ?,,Canada,"Baddeck, Nova Scotia",,,,1910,,6 Aeronautics 214 (1910); 1910 Statutes of Nova Scotia; ,"The Aero Club of Canada at Baddeck, Nova Scotia, was incorporated by the Province of Nova Scotia on 22 Apr. 1910.  The first meeting was on 6 May and drew six members.  ","The initial officers were J. A. D. McCurdy, president and secretary; F. W. Baldwin, H. Percy Blanchard, and Hon. W. F. McCurdy, vice presidents; and K. J. McKay, treasurer.  McCurdy and Baldwin had been associated with the Aerial Experiment Association, which disbanded in April 1909.  (Considering it a commercial enterprise, we have not included the Aerial Experiment Association in this table.)  ",,
Aero Club of Cannes :        Aero Club de Cannes,Local,,Frances,Cannes,1 Boulevard Jean Hilbert,,,1910 or earlier,,1910 Annuario dell' Aeronautica Primo 373 (Sept. 1910); 1911 Aero-Manuel 442 (1 Oct. 1910),,"Some 50 members, 1910.  Officers, 1910, included Gallice, president; Jeancard, Sehallier, and Quinson, vice presidents; Heurtard, general secretary; and Dufaure de Citres, treasurer.  eecretary general.  They appear to have been preceded by Gallice, president; Jencard, Sehallier, and Mounier, vice presidents; and Heurtard and Andrau, secretaries.  ",,
Aero Club of Carnegie Institute of Technology,University, ,USA,,,,,1910 or earlier,,1910 NYT 23 June,,20 members in June 1910.,,
Aero Club of Carnegie Technical Schools,University,,USA,"Pittsburg, Pennsylvania",,,,1910,,"1910 Boston Daily Globe, 1 June; 1910 Aircraft, 1 June and 1 July;",The Aero Club of Carnegie Technical Schools was organized in January 1910.  Full membership was open to those in the three Carnegie Technical Schools in Pittsburg and an associate membership was offered to people of Pittsburg outside the schools.   ,"Initials officers included W. J. Vance, president; W. J. Bauman, vice president; W. B. Chalfant, secretary; and W. B. Rudolph, treasurer.  In mid-1910, the club  had an active membership of 60.  An exhibit of models built by members was held in March 1910.  Two full-sized airplanes were under construction in June.    ",,
Aero Club of Cataluna : Aero Club de Cataluna,Local,,Spain,Barcelona,Barcelona,,,1910 or earlier,,1911 Aero-Maneul 223 (1 Oct. 1910),,,,
Aero Club of Chicago,Local,,USA,"Chicago, Illinois","79 Randolph Street, Chicago (1907)",,,1907,,"1907 Chicago Daily Tribune, 15, 17 & 21 May; 1:5 Aeronautics 44 (1907); 1:6 Aeronautics 38 (1907); ACA Annual (1908); Howard L. Scamehorn, ""Balloons to Jets: A Century of Aeronautics Illinois, 1855-1955 (Southern Illinois University Press, 2000; or'g. pub. by H. Regnery Co., 1957), p. 48.",The Aero Club of Chicago was formed at a meeting on 14 May 1907.  ,"At the organizational meeting, 14 May 1907, Freeman F. Gross was elected president.  Horace B. Wild, a balloonist of more than 20 years' experience, was a charter member.  An anonymous donor (identified a few days later as attorney Charles E. Bartley) was reported to have given $12,000 for the club to use as the officers saw fit, with a promise of more if the club proved a success.",,
